Description,Price,Link
Dodge Dakota Challenger Srt8,499000.00,"https://carro.mercadolivre.com.br/MLB-2751766387-dodge-dakota-challenger-srt8-20082008-_JM#position=1&amp;search_layout=grid&amp;type=item&amp;tracking_id=0006566c-cdf3-4b5c-8e24-10979e120a47"" target=""_blank"" title=""Dodge Dakota Challenger Srt8""><h2 aria-level=""3"
Dodge Challenger Rt Scat Pack Widebody,980000.00,"https://carro.mercadolivre.com.br/MLB-2717454765-dodge-challenger-rt-scat-pack-widebody-_JM#position=2&amp;search_layout=grid&amp;type=item&amp;tracking_id=0006566c-cdf3-4b5c-8e24-10979e120a47"" target=""_blank"" title=""Dodge Challenger Rt Scat Pack Widebody""><h2 aria-level=""3"
Dodge Challenger 3.6 Se V6 Gasolina 2p Automático 3.6 Se V6 Gasolina 2p Automático,430000.00,"https://carro.mercadolivre.com.br/MLB-1983392292-dodge-challenger-36-se-v6-gasolina-2011-_JM#position=3&amp;search_layout=grid&amp;type=item&amp;tracking_id=0006566c-cdf3-4b5c-8e24-10979e120a47"" target=""_blank"" title=""Dodge Challenger 3.6 Se V6 Gasolina 2p Automático 3.6 Se V6 Gasolina 2p Automático""><h2 aria-level=""3"
Dodge Challenger 6.2 V8 Hemi Gasolina Srt Hellcat Torqueflite,1149000.00,"https://carro.mercadolivre.com.br/MLB-3206001865-dodge-challenger-62-v8-hemi-gasolina-srt-hellcat-_JM#position=4&amp;search_layout=grid&amp;type=item&amp;tracking_id=0006566c-cdf3-4b5c-8e24-10979e120a47"" target=""_blank"" title=""Dodge Challenger 6.2 V8 Hemi Gasolina Srt Hellcat Torqueflite""><h2 aria-level=""3"
Dodge Challenger Scat Pack 2022,899900.00,"https://carro.mercadolivre.com.br/MLB-3132856611-dodge-challenger-scat-pack-2022-v8-_JM#position=5&amp;search_layout=grid&amp;type=item&amp;tracking_id=0006566c-cdf3-4b5c-8e24-10979e120a47"" target=""_blank"" title=""Dodge Challenger Scat Pack 2022""><h2 aria-level=""3"
